City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,92,PF,1552687962,100,-23.12,-134.97,76.95,26.53
Bredasdorp,68,ZA,1552687305,94,-34.53,20.04,73.0,12.75
Miraflores,88,CO,1552688310,78,5.2,-73.14,61.29,2.15
Elizabeth City,90,US,1552688054,60,36.3,-76.22,77.0,13.87
Rayachoti,0,IN,1552688310,67,14.06,78.75,64.62,4.38
Saint George,20,GR,1552687400,93,39.45,22.34,50.0,4.16
Port Alfred,92,ZA,1552687859,97,-33.59,26.89,72.0,11.21
East London,12,ZA,1552687848,100,-33.02,27.91,75.51,9.53
Ashqelon,20,IL,1552688121,81,31.67,34.57,54.0,2.24
Hithadhoo,64,MV,1552687967,100,-0.6,73.08,83.47,6.06
Barrow,68,AR,1552687949,94,-38.31,-60.23,67.36,14.0
Kiama,75,AU,1552688230,100,-34.67,150.86,72.0,6.93
Busselton,32,AU,1552687909,66,-33.64,115.35,60.01,13.11
Luderitz,44,NA,1552688049,96,-26.65,15.16,61.06,8.19
Eureka,1,US,1552687942,100,40.8,-124.16,62.01,13.87
Tiksi,12,RU,1552688286,37,71.64,128.87,-25.12,2.71
Lichuan,92,CN,1552688311,88,30.3,108.94,40.86,2.04
Lebu,0,ET,1552687951,58,8.96,38.73,54.18,6.4
Hobart,20,AU,1552687756,76,-42.88,147.33,60.01,9.17
Upernavik,32,GL,1552687959,100,72.79,-56.15,-4.33,14.9
Hasaki,75,JP,1552687474,93,35.73,140.83,41.0,9.17
Esperance,40,TT,1552687807,78,10.24,-61.45,81.0,8.05
Saldanha,0,PT,1552688005,72,41.42,-6.55,40.32,2.71
Punta Arenas,75,CL,1552687400,71,-53.16,-70.91,55.4,12.75
Tasiilaq,0,GL,1552683000,78,65.61,-37.64,14.0,3.36
Anadyr,20,RU,1552687994,77,64.73,177.51,1.4,4.47
Georgetown,75,GY,1552687200,78,6.8,-58.16,82.4,9.17
Udachnyy,88,RU,1552688312,84,66.42,112.4,14.44,2.37
Ponta do Sol,48,BR,1552687983,79,-20.63,-46.0,77.17,4.94
Vestmannaeyjar,92,IS,1552687985,100,63.44,-20.27,33.84,8.63
